accession,name,type,tax_id,tax_name,extras,status
SAMN02945797,II001A (Danube km 2600),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945798,II002F (Danube km 2412),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945799,II002A (Danube km 2412),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945800,II003F (Danube km 2354),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945801,II003A (Danube km 2354),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945802,II004F (Danube km 2287),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945803,II004A (Danube km 2287),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945804,II005A (Danube km 2278),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945805,II007F (Danube km 2204),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945806,II008F (Danube km 2120),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945807,II089F (Danube km 167),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945808,II009A (Danube km 2061),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945809,II010F (Danube km 2008),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945810,II011F (Danube km 1950),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945811,II093A (Danube km 18),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945812,II095A (Danube km 2),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945813,II096F (Danube km 0),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945814,II013F (Danube km 1895),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945815,II013A (Danube km 1895),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945816,II014F (Danube km 1881),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945817,II014A (Danube km 1881),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945818,II015A (Danube km 1880),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945819,II017F (Danube km 1852),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945820,II018F (Danube km 1806),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945821,II019A (Danube km 1794),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945822,II021F (Danube km 1766),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945823,II021A (Danube km 1766),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945824,II022F (Danube km 1761),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945825,II022A (Danube km 1761),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945826,II023F (Danube km 1719),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945827,II039F (Danube km 1434),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945828,II024F (Danube km 1716),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945829,II025F (Danube km 1708),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945830,II025A (Danube km 1708),biosample,1169740,aquatic metagenome,,processed-ok
